"","Date","Area","Site","Plot","Plot_ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","Average","Std_Dev","X","X.1","X.2","X.3","X.4","X.5"
"61","6-Jul-2021","East","Hydric",1,"E-H1",20,24,19,17,14,25,14,16,20,14,18,19,24,18,18,19,4,NA,NA,NA,NA,NA,NA
"62","6-Jul-2021","East","Hydric",2,"E-H2",21,29,21,21,23,30,31,19,37,41,19,21,15,21,20,25,7,NA,NA,NA,NA,NA,NA
"63","6-Jul-2021","East","Hydric",3,"E-H3",14,21,19,16,16,15,29,24,26,18,16,27,23,14,20,20,5,NA,NA,NA,NA,NA,NA
"64","7-Jul-2021","West","Dry",1,"W-D1",21,21,18,20,23,18,20,15,24,18,20,20,13,20,NA,19,3,NA,NA,NA,NA,NA,NA
"65","7-Jul-2021","West","Dry",2,"W-D2",16,22,17,25,16,14,19,27,17,23,21,23,16,16,18,19,4,NA,NA,NA,NA,NA,NA
"66","7-Jul-2021","West","Dry",3,"W-D3",17,18,26,27,22,20,21,18,16,18,23,20,18,20,20,20,3,NA,NA,NA,NA,NA,NA
"67","7-Jul-2021","West","Mesic",1,"W-M1",16,17,22,20,24,20,16,23,19,22,20,23,24,24,17,20,3,NA,NA,NA,NA,NA,NA
"68","7-Jul-2021","West","Mesic",2,"W-M2",15,17,20,24,16,13,20,17,19,18,28,15,18,23,27,19,4,NA,NA,NA,NA,NA,NA
"69","7-Jul-2021","West","Mesic",3,"W-M3",18,16,15,25,17,18,24,40,40,22,19,25,22,23,14,23,8,NA,NA,NA,NA,NA,NA
"70","7-Jul-2021","West","Hydric",1,"W-H1",38,50,37,37,32,36,30,37,42,71,51,41,62,43,44,43,11,NA,NA,NA,NA,NA,NA
"71","7-Jul-2021","West","Hydric",2,"W-H2",27,27,36,31,31,32,30,32,35,28,25,30,35,29,31,31,3,NA,NA,NA,NA,NA,NA
"72","7-Jul-2021","West","Hydric",3,"W-H3",26,25,26,22,25,16,21,20,31,32,31,32,27,22,27,26,5,NA,NA,NA,NA,NA,NA
"73","13-Jul-2021","West","Dry",1,"W-D1",21,30,29,24,31,29,24,30,18,26,27,22,30,29,NA,26,4,NA,NA,NA,NA,NA,NA
"74","13-Jul-2021","West","Dry",2,"W-D2",20,19,22,25,29,17,31,23,29,17,29,18,31,23,30,24,5,NA,NA,NA,NA,NA,NA
"75","13-Jul-2021","West","Dry",3,"W-D3",24,28,25,29,27,27,26,28,27,21,24,25,28,21,23,26,3,NA,NA,NA,NA,NA,NA
"76","13-Jul-2021","West","Mesic",1,"W-M1",21,23,23,24,27,19,31,26,22,18,25,21,16,21,23,23,4,NA,NA,NA,NA,NA,NA
"77","13-Jul-2021","West","Mesic",2,"W-M2",22,24,19,21,26,23,22,31,21,32,37,22,34,20,19,25,6,NA,NA,NA,NA,NA,NA
"78","13-Jul-2021","West","Mesic",3,"W-M3",28,22,23,21,19,21,29,21,33,26,29,30,25,28,23,25,4,NA,NA,NA,NA,NA,NA
"79","13-Jul-2021","West","Hydric",1,"W-H1",31,34,39,34,39,45,49,56,38,39,38,41,38,48,32,40,7,NA,NA,NA,NA,NA,NA
"80","13-Jul-2021","West","Hydric",2,"W-H2",28,30,41,32,35,41,36,31,16,22,60,54,32,38,19,34,12,NA,NA,NA,NA,NA,NA
"81","13-Jul-2021","West","Hydric",3,"W-H3",36,41,30,22,27,34,31,28,32,31,33,32,32,29,33,31,4,NA,NA,NA,NA,NA,NA
"82","14-Jul-2021","East","Dry",1,"E-D1",18,25,44,65,26,35,41,23,26,57,21,51,23,19,21,33,15,NA,NA,NA,NA,NA,NA
"83","14-Jul-2021","East","Dry",2,"E-D2",64,32,21,14,80,45,41,30,34,26,25,46,37,45,29,38,17,NA,NA,NA,NA,NA,NA
"84","14-Jul-2021","East","Dry",3,"E-D3",24,26,36,21,35,34,35,18,36,15,21,43,37,24,55,31,11,NA,NA,NA,NA,NA,NA
"85","14-Jul-2021","East","Mesic",1,"E-M1",40,42,9,41,21,55,25,36,13,39,17,31,27,25,22,30,13,NA,NA,NA,NA,NA,NA
"86","14-Jul-2021","East","Mesic",2,"E-M2",32,39,21,25,49,15,48,50,37,18,14,33,22,35,20,31,12,NA,NA,NA,NA,NA,NA
"87","14-Jul-2021","East","Mesic",3,"E-M3",16,40,23,22,21,28,48,36,16,16,20,44,30,36,24,28,11,NA,NA,NA,NA,NA,NA
"88","14-Jul-2021","East","Hydric",1,"E-H1",21,20,18,16,22,15,17,23,14,27,21,22,21,20,17,20,3,NA,NA,NA,NA,NA,NA
"89","14-Jul-2021","East","Hydric",2,"E-H2",18,23,24,31,30,38,39,39,30,29,29,28,29,32,23,29,6,NA,NA,NA,NA,NA,NA
"90","14-Jul-2021","East","Hydric",3,"E-H3",20,29,18,21,19,22,26,20,29,19,20,26,19,18,22,22,4,NA,NA,NA,NA,NA,NA
"91","24-Jul-2021","West","Dry",1,"W-D1",23,28,27,29,37,36,37,36,32,34,41,41,36,24,38,33,6,NA,NA,NA,NA,NA,NA
"92","24-Jul-2021","West","Dry",2,"W-D2",29,21,32,25,28,28,28,26,31,27,38,35,27,42,43,31,6,NA,NA,NA,NA,NA,NA
"93","24-Jul-2021","West","Dry",3,"W-D3",27,30,33,32,32,30,32,30,31,27,33,31,35,29,33,31,2,NA,NA,NA,NA,NA,NA
"94","24-Jul-2021","West","Mesic",1,"W-M1",35,28,20,20,31,34,23,29,30,25,42,32,28,32,31,29,6,NA,NA,NA,NA,NA,NA
"95","24-Jul-2021","West","Mesic",2,"W-M2",24,19,41,46,52,40,17,19,36,29,24,31,35,20,11,30,12,NA,NA,NA,NA,NA,NA
"96","24-Jul-2021","West","Mesic",3,"W-M3",26,31,33,30,30,35,24,29,38,18,24,22,31,27,27,28,5,NA,NA,NA,NA,NA,NA
"97","24-Jul-2021","West","Hydric",1,"W-H1",57,54,57,55,58,60,46,48,51,38,48,33,33,34,64,49,10,NA,NA,NA,NA,NA,NA
"98","24-Jul-2021","West","Hydric",2,"W-H2",42,38,38,40,38,40,40,44,45,40,41,39,40,35,42,40,3,NA,NA,NA,NA,NA,NA
"99","24-Jul-2021","West","Hydric",3,"W-H3",43,42,36,36,35,30,35,33,35,34,37,30,31,35,42,36,4,NA,NA,NA,NA,NA,NA
"100","24-Jul-2021","East","Dry",1,"E-D1",41,30,9,13,8,20,54,37,36,47,58,43,38,27,57,35,17,NA,NA,NA,NA,NA,NA
"101","24-Jul-2021","East","Dry",2,"E-D2",45,32,51,53,34,20,31,45,45,56,45,46,22,32,42,40,11,NA,NA,NA,NA,NA,NA
"102","24-Jul-2021","East","Dry",3,"E-D3",50,50,47,45,33,47,47,38,30,53,66,26,14,45,29,41,13,NA,NA,NA,NA,NA,NA
"103","24-Jul-2021","East","Mesic",1,"E-M1",40,40,21,44,40,28,33,45,44,24,48,67,25,37,31,38,12,NA,NA,NA,NA,NA,NA
"104","24-Jul-2021","East","Mesic",2,"E-M2",76,60,31,48,65,45,18,41,65,45,15,28,32,17,68,44,20,NA,NA,NA,NA,NA,NA
"105","24-Jul-2021","East","Mesic",3,"E-M3",18,17,27,60,24,50,55,24,25,61,27,56,48,27,40,37,16,NA,NA,NA,NA,NA,NA
"106","24-Jul-2021","East","Hydric",1,"E-H1",31,23,34,31,36,23,33,36,23,26,40,29,30,30,17,29,6,NA,NA,NA,NA,NA,NA
"107","24-Jul-2021","East","Hydric",2,"E-H2",40,35,39,31,47,34,27,32,47,27,27,27,29,35,34,34,7,NA,NA,NA,NA,NA,NA
"108","24-Jul-2021","East","Hydric",3,"E-H3",22,33,33,32,16,23,21,27,19,29,32,22,34,33,34,27,6,NA,NA,NA,NA,NA,NA
"109","30-Jul-2021","East","Dry",1,"E-D1",39,51,32,58,30,53,52,68,59,41,44,43,23,30,46,45,13,NA,NA,NA,NA,NA,NA
"110","30-Jul-2021","East","Dry",2,"E-D2",33,54,34,40,59,87,48,65,60,58,21,21,57,31,53,48,18,NA,NA,NA,NA,NA,NA
"111","30-Jul-2021","East","Dry",3,"E-D3",64,72,48,57,56,52,60,51,55,51,46,44,32,41,58,52,10,NA,NA,NA,NA,NA,NA
"112","30-Jul-2021","East","Mesic",1,"E-M1",53,68,50,41,33,68,43,34,76,45,22,38,47,57,44,48,15,NA,NA,NA,NA,NA,NA
"113","30-Jul-2021","East","Mesic",2,"E-M2",21,40,66,18,61,49,20,33,46,42,38,69,20,36,53,41,17,NA,NA,NA,NA,NA,NA
"114","30-Jul-2021","East","Mesic",3,"E-M3",19,66,41,40,25,19,44,57,58,18,20,25,40,43,55,38,16,NA,NA,NA,NA,NA,NA
"115","30-Jul-2021","East","Hydric",1,"E-H1",63,66,65,70,59,72,60,55,73,55,59,60,55,52,62,62,6,NA,NA,NA,NA,NA,NA
"116","30-Jul-2021","East","Hydric",2,"E-H2",32,24,39,42,42,49,51,53,58,51,49,51,53,51,49,46,9,NA,NA,NA,NA,NA,NA
"117","30-Jul-2021","East","Hydric",3,"E-H3",51,42,39,39,40,47,41,43,35,33,48,44,53,39,38,42,6,NA,NA,NA,NA,NA,NA
"118","31-Jul-2021","West","Dry",1,"W-D1",37,32,39,37,20,45,33,40,43,33,38,35,37,47,42,37,6,NA,NA,NA,NA,NA,NA
"119","31-Jul-2021","West","Dry",2,"W-D2",28,32,46,33,25,31,29,26,31,26,27,30,45,30,39,32,7,NA,NA,NA,NA,NA,NA
"120","31-Jul-2021","West","Dry",3,"W-D3",30,29,33,31,35,35,29,29,28,27,33,46,32,32,35,32,5,NA,NA,NA,NA,NA,NA
"121","31-Jul-2021","West","Mesic",1,"W-M1",20,43,56,42,31,26,30,35,43,56,31,52,28,54,29,38,12,NA,NA,NA,NA,NA,NA
"122","31-Jul-2021","West","Mesic",2,"W-M2",32,26,44,30,27,19,47,54,34,20,35,32,27,45,49,35,11,NA,NA,NA,NA,NA,NA
"123","31-Jul-2021","West","Mesic",3,"W-M3",32,31,36,16,33,34,38,34,28,18,34,20,33,32,59,32,10,NA,NA,NA,NA,NA,NA
"124","31-Jul-2021","West","Hydric",1,"W-H1",32,31,26,28,25,25,20,31,27,31,29,27,29,32,28,28,3,NA,NA,NA,NA,NA,NA
"125","31-Jul-2021","West","Hydric",2,"W-H2",42,39,37,36,40,39,42,44,50,31,40,43,39,33,32,39,5,NA,NA,NA,NA,NA,NA
"126","31-Jul-2021","West","Hydric",3,"W-H3",15,19,22,28,34,21,41,31,26,21,37,25,23,32,21,26,7,NA,NA,NA,NA,NA,NA
"127","7-Aug-2021","East","Dry",1,"E-D1",51,42,38,53,37,45,22,54,31,32,38,24,50,37,34,39,10,NA,NA,NA,NA,NA,NA
"128","7-Aug-2021","East","Dry",2,"E-D2",58,34,41,34,28,43,95,48,79,38,26,44,60,41,42,47,19,NA,NA,NA,NA,NA,NA
"129","7-Aug-2021","East","Dry",3,"E-D3",22,33,35,46,19,38,36,51,49,21,22,63,37,32,35,36,12,NA,NA,NA,NA,NA,NA
"130","7-Aug-2021","East","Mesic",1,"E-M1",36,32,31,67,48,32,66,61,80,36,52,52,51,34,58,49,15,NA,NA,NA,NA,NA,NA
"131","7-Aug-2021","East","Mesic",2,"E-M2",56,75,48,66,24,65,36,46,43,39,39,38,51,44,46,48,13,NA,NA,NA,NA,NA,NA
"132","7-Aug-2021","East","Mesic",3,"E-M3",51,67,43,42,58,39,51,35,58,39,39,48,29,31,24,44,12,NA,NA,NA,NA,NA,NA
"133","7-Aug-2021","East","Hydric",1,"E-H1",36,34,31,31,37,34,29,30,33,34,36,34,26,25,33,32,4,NA,NA,NA,NA,NA,NA
"134","7-Aug-2021","East","Hydric",2,"E-H2",51,42,42,39,41,51,46,56,47,31,48,52,45,35,30,44,8,NA,NA,NA,NA,NA,NA
"135","7-Aug-2021","East","Hydric",3,"E-H3",23,24,26,38,41,25,31,29,19,30,30,29,33,34,40,30,6,NA,NA,NA,NA,NA,NA
"136","7-Aug-2021","West","Dry",1,"W-D1",38,35,37,36,47,38,32,31,34,38,40,41,33,44,38,37,4,NA,NA,NA,NA,NA,NA
"137","7-Aug-2021","West","Dry",2,"W-D2",33,36,39,34,32,32,33,31,30,38,29,35,31,33,32,33,3,NA,NA,NA,NA,NA,NA
"138","7-Aug-2021","West","Dry",3,"W-D3",32,31,26,43,26,31,30,31,35,30,34,29,32,30,31,31,4,NA,NA,NA,NA,NA,NA
"139","7-Aug-2021","West","Mesic",1,"W-M1",42,40,33,33,23,34,29,44,32,29,34,38,29,31,58,35,8,NA,NA,NA,NA,NA,NA
"140","7-Aug-2021","West","Mesic",2,"W-M2",26,24,50,43,37,45,40,41,19,31,30,32,47,40,36,36,9,NA,NA,NA,NA,NA,NA
"141","7-Aug-2021","West","Mesic",3,"W-M3",35,42,34,34,33,26,36,44,35,35,32,31,41,34,28,35,5,NA,NA,NA,NA,NA,NA
"142","7-Aug-2021","West","Hydric",1,"W-H1",63,65,57,69,68,68,67,66,69,65,66,62,60,64,55,64,4,NA,NA,NA,NA,NA,NA
"143","7-Aug-2021","West","Hydric",2,"W-H2",46,44,47,48,44,52,58,46,48,44,43,27,49,56,30,45,8,NA,NA,NA,NA,NA,NA
"144","7-Aug-2021","West","Hydric",3,"W-H3",48,52,40,49,46,39,38,44,43,50,48,50,38,40,48,45,5,NA,NA,NA,NA,NA,NA
"145","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
